"ANDHRA PRADESH","ADILABAD","2001","4154"
"ANDHRA PRADESH","ANANTAPUR","2001","4125"
"ANDHRA PRADESH","CHITTOOR","2001","5818"
"ANDHRA PRADESH","CUDDAPAH","2001","3140"
"ANDHRA PRADESH","EAST GODAVARI","2001","6507"
"ANDHRA PRADESH","GUNTAKAL RLY.","2001","287"
"ANDHRA PRADESH","GUNTUR","2001","7848"
"ANDHRA PRADESH","HYDERABAD CITY","2001","11831"
"ANDHRA PRADESH","KARIMNAGAR","2001","5811"
"ANDHRA PRADESH","KHAMMAM","2001","4582"
"ANDHRA PRADESH","KRISHNA","2001","4779"
"ANDHRA PRADESH","KURNOOL","2001","4581"
"ANDHRA PRADESH","MAHABOOBNAGAR","2001","4819"
"ANDHRA PRADESH","MEDAK","2001","3532"
"ANDHRA PRADESH","NALGONDA","2001","5002"
"ANDHRA PRADESH","NELLORE","2001","5245"
"ANDHRA PRADESH","NIZAMABAD","2001","3621"
"ANDHRA PRADESH","PRAKASHAM","2001","3678"
"ANDHRA PRADESH","RANGA REDDY","2001","9867"
"ANDHRA PRADESH","SECUNDERABAD RLY.","2001","439"
"ANDHRA PRADESH","SRIKAKULAM","2001","2572"
"ANDHRA PRADESH","VIJAYAWADA","2001","6733"
"ANDHRA PRADESH","VIJAYAWADA RLY.","2001","320"
"ANDHRA PRADESH","VISAKHA RURAL","2001","3183"
"ANDHRA PRADESH","VISAKHAPATNAM","2001","3422"
"ANDHRA PRADESH","VIZIANAGARAM","2001","2178"
"ANDHRA PRADESH","WARANGAL","2001","6319"
"ANDHRA PRADESH","WEST GODAVARI","2001","5696"
"ANDHRA PRADESH","TOTAL","2001","130089"
"ARUNACHAL PRADESH","CHANGLANG","2001","163"
"ARUNACHAL PRADESH","DIBANG VALLEY","2001","139"
"ARUNACHAL PRADESH","KAMENG EAST","2001","126"
"ARUNACHAL PRADESH","KAMENG WEST","2001","103"
"ARUNACHAL PRADESH","LOHIT","2001","190"
"ARUNACHAL PRADESH","PAPUM PARE","2001","498"
"ARUNACHAL PRADESH","SIANG EAST","2001","243"
"ARUNACHAL PRADESH","SIANG UPPER","2001","56"
"ARUNACHAL PRADESH","SIANG WEST","2001","361"
"ARUNACHAL PRADESH","SUBANSIRI LOWER","2001","148"
"ARUNACHAL PRADESH","SUBANSIRI UPPER","2001","140"
"ARUNACHAL PRADESH","TAWANG","2001","48"
"ARUNACHAL PRADESH","TIRAP","2001","127"
"ARUNACHAL PRADESH","TOTAL","2001","2342"
"ASSAM","BARPETA","2001","1778"
"ASSAM","BONGAIGAON","2001","810"
"ASSAM","C.I.D.","2001","8"
"ASSAM","CACHAR","2001","3462"
"ASSAM","DARRANG","2001","1454"
"ASSAM","DHEMAJI","2001","652"
"ASSAM","DHUBRI","2001","1505"
"ASSAM","DIBRUGARH","2001","1565"
"ASSAM","G.R.P.","2001","343"
"ASSAM","GOALPARA","2001","873"
"ASSAM","GOLAGHAT","2001","1166"
"ASSAM","GUWAHATI CITY","2001","4373"
"ASSAM","HAILAKANDI","2001","820"
"ASSAM","JORHAT","2001","1190"
"ASSAM","KAMRUP","2001","2011"
"ASSAM","KARBI ANGLONG","2001","721"
"ASSAM","KARIMGANJ","2001","843"
"ASSAM","KOKRAJHAR","2001","776"
"ASSAM","LAKHIMPUR","2001","1779"
"ASSAM","MORIGAON","2001","731"
"ASSAM","N.C.HILLS","2001","187"
"ASSAM","NAGAON","2001","3202"
"ASSAM","NALBARI","2001","1194"
"ASSAM","R.P.O.","2001","101"
"ASSAM","SIBSAGAR","2001","1643"
"ASSAM","SONITPUR","2001","2309"
"ASSAM","TINSUKIA","2001","1381"
"ASSAM","TOTAL","2001","36877"
"BIHAR","ARARIA","2001","2069"
"BIHAR","ARWAL","2001","591"
"BIHAR","AURANGABAD","2001","1690"
"BIHAR","BAGAHA","2001","912"
"BIHAR","BANKA","2001","1386"
